Emin,Emax,flux
7.83965,7.97008,161651142754.51566
7.97008,8.13027,189814212921.7449
8.13027,8.30032,202616578471.0855
8.30032,8.52407,256603510799.59378
8.52407,8.67369,159428383222.02713
8.67369,8.80038,119429580378.47844
8.80038,8.97995,177176634180.80756
8.97995,9.14031,167268414944.18402
9.14031,9.50002,378748626144.95026
9.50002,10.5793,1058518600060.8357
10.5793,10.8038,209742738812.32278
10.8038,11.0529,223742902158.79044
11.0529,11.2694,191317226550.82037
11.2694,11.5894,274551244122.18408
11.5894,11.7094,91964618395.70741
11.7094,11.8153,86376724440.322
11.8153,11.9795,137648990972.78012
11.9795,12.1302,122967362074.75475
12.1302,12.3086,138882287808.2539
12.3086,12.4721,110623033957.16893
12.4721,12.6,96213339905.91698
12.6,13.3297,566541479851.4392
13.3297,13.546,165530432369.49695
13.546,14.0496,357228132738.2147
14.0496,14.2505,143970213548.28262
14.2505,14.4702,153083577728.68036
14.4702,14.5952,83798929949.31804
14.5952,14.7301,92215024502.15948
14.7301,14.8662,95727642181.75824
14.8662,15.7792,594689863789.9203
15.7792,16.0498,170412246561.2368
16.0498,16.5501,305470064016.42676
16.5501,16.8305,157572709783.64267
16.8305,17.4457,352291767069.6767
17.4457,17.5648,66255032773.63487
17.5648,17.759,107733095415.20926
17.759,17.9591,109230078555.24037
17.9591,19.0848,579732763917.8247
19.0848,19.1997,51184522771.204956
19.1997,19.3927,78567110437.09102
19.3927,19.5974,90398998291.47603
19.5974,20.0734,214978130135.2821
20.0734,20.2751,85120111291.24261
20.2751,20.4175,55332728320.50387
20.4175,20.5199,36934903483.30372
20.5199,20.6021,25889842172.65625
20.6021,20.6847,20161156185.71038
20.6847,20.7676,16833650198.070557
20.7676,20.9763,40196048117.225136
20.9763,21.0604,16466453462.701761
21.0604,21.1448,18723464231.016525
21.1448,21.2296,22783250886.88962
21.2296,21.336,33383490778.420082
21.336,21.4859,55496178801.692406
21.4859,21.7018,85726036636.33699
21.7018,22.0011,129731335320.29112
22.0011,22.1557,68934909337.17851
22.1557,22.3788,98238623676.89706
22.3788,22.5356,69795586568.76906
22.5356,24.6578,919220121521.0094
24.6578,27.8852,1286431829397.7961
27.8852,31.693,1340311436182.17
31.693,33.0855,434643759530.1903
33.0855,34.5392,420161622449.8065
34.5392,35.698,304178804296.82306
35.698,36.0568,100106728490.60272
36.0568,36.4191,78001620696.70836
36.4191,36.8588,51778750651.09362
36.8588,37.3038,67222643190.068665
37.3038,37.7919,106192045651.93176
37.7919,38.7874,257376780138.1288
38.7874,39.7295,247956781720.13705
39.7295,41.227,397165153892.64923
41.227,42.1441,234486636546.33606
42.1441,43.1246,248329158610.16888
43.1246,44.1721,260178286806.27313
44.1721,45.2904,273727396189.38284
45.2904,46.2053,221906838364.9647
46.2053,47.5173,305242209857.09503
47.5173,49.2591,386524424372.038
49.2591,51.7847,537947942344.61664
51.7847,52.9895,248496293314.7664
52.9895,54.06,214773085407.35788
54.06,57.0595,574040620522.6559
57.0595,59.925,542265708778.0537
59.925,62.3083,428046626524.6625
62.3083,63.6306,226113310583.10342
63.6306,64.5923,154567185875.54068
64.5923,65.046,80656821680.66782
65.046,65.5029,86937515682.5478
65.5029,65.8312,38039708388.80804
65.8312,66.1612,21844622880.652042
66.1612,66.4929,26882480723.196796
66.4929,66.8261,41512405227.08649
66.8261,69.0682,355745909698.4465
69.0682,71.8869,437455702308.13635
71.8869,73.5595,254931964844.4738
73.5595,76.3322,409894939047.44885
76.3322,79.3679,442932004065.8007
79.3679,83.9393,588251547563.0033
83.9393,88.7741,625557304984.9327
88.7741,93.3256,551446567117.4689
93.3256,97.3287,468893287286.5556
97.3287,100.594,374895860792.78143
100.594,101.098,71760680690.63492
101.098,101.605,79783769811.53825
101.605,102.115,55381183626.0321
102.115,103.038,42746096900.70016
103.038,105.646,231808889379.84534
105.646,110.288,476135036363.1956
110.288,112.854,262475994073.85916
112.854,115.48,264241857907.9662
115.48,116.524,116109709673.06613
116.524,117.577,51535499229.82493
117.577,120.554,270599404623.02292
120.554,126.229,526162141176.9974
126.229,132.701,575684231071.7614
132.701,139.504,573073849661.6407
139.504,146.657,563405844987.8016
146.657,154.176,585214957583.8822
154.176,163.056,644528040279.367
163.056,167.519,286234180791.63495
167.519,175.229,517297168029.71106
175.229,183.295,512914114859.18445
183.295,184.952,104091728947.50218
184.952,186.251,93806666663.09706
186.251,187.559,119797402995.05199
187.559,188.877,108737912133.22739
188.877,190.204,35779896605.51868
190.204,193.078,128374315471.63432
193.078,195.996,160983140759.07413
195.996,200.958,279874966688.69965
200.958,212.108,606997569838.2317
212.108,224.325,644965291682.1055
224.325,235.59,572002705007.9044
235.59,241.796,281102429355.0429
241.796,256.748,700785002971.2417
256.748,268.297,510374645519.60583
268.297,276.468,337716507853.7979
276.468,284.888,379876249647.5583
284.888,288.327,154569664229.57843
288.327,295.922,248070456344.27988
295.922,319.928,903532838596.3778
319.928,335.323,563368984322.6282
335.323,353.575,625492537561.7461
353.575,371.703,592341872948.617
371.703,390.76,599309716248.3142
390.76,419.094,822197004822.6509
419.094,453.999,950411396232.8894
453.999,501.746,1189223515169.0352
501.746,539.204,847431175508.8655
539.204,577.146,827458146563.9786
577.146,592.941,329286801044.6126
592.941,600.099,124322383682.76244
600.099,612.834,249855374084.3415
612.834,646.837,636941684289.4037
646.837,677.287,574421867506.9445
677.287,748.517,1172992878250.4248
748.517,832.218,1278825077693.039
832.218,909.681,1072618007607.1132
909.681,982.494,937493126762.4681
982.494,1064.32,965403961790.7682
1064.32,1134.67,782643333386.864
1134.67,1343.58,2044884809614.744
1343.58,1586.2,2056491759981.1436
1586.2,1811.83,1637537172654.9238
1811.83,2084.1,1747283057715.7964
2084.1,2397.29,1732890478251.726
2397.29,2700.24,1527930419936.731
2700.24,2996.18,1269818498528.083
2996.18,3481.07,1874563996802.1104
3481.07,4097.35,2081627676946.5457
4097.35,5004.51,2555594265439.5273
5004.51,6112.52,2589883226564.4272
6112.52,7465.85,2622660190120.6733
7465.85,9118.81,2660963068842.161
9118.81,11137.7,2683860268422.3184
11137.7,13603.7,2730910930402.88
13603.7,14899.7,1253155596241.2925
14899.7,16200.5,1161962227843.959
16200.5,18584.7,1957957356289.2014
18584.7,22699.4,2886439515488.103
22699.4,24999.1,1418317494815.8398
24999.1,26100.1,638184715017.2528
26100.1,27394.4,726856920607.2236
27394.4,29281.0,1008690939575.1818
29281.0,33459.6,2038444438384.0579
33459.6,36978.6,1595242229198.216
36978.6,40867.7,1638656034444.855
40867.7,49915.9,3288863104659.043
49915.9,55165.6,1720406282171.6147
55165.6,67379.4,3574526871055.421
67379.4,82297.4,3801268586257.506
82297.4,94664.5,2813653747345.7505
94664.5,115624.0,4299724226820.191
115624.0,122773.0,1350814976823.2231
122773.0,140000.0,3092251546459.9233
140000.0,164999.0,4166998285397.4336
164999.0,195008.0,4560638306502.531
195008.0,230014.0,4914853465919.816
230014.0,267826.0,4974921725572.227
267826.0,320646.0,6569621377400.045
320646.0,383884.0,6799846700929.477
383884.0,412501.0,2423821602613.0825
412501.0,456021.0,2825079775703.403
456021.0,494002.0,3095529847699.8013
494002.0,578443.0,7304588341938.042
578443.0,706511.0,10393548213227.613
706511.0,860006.0,11685098786333.014
860006.0,951119.0,4858403469312.368
951119.0,1051150.0,3736371947135.3037
1051150.0,1162050.0,4661096880348.642
1162050.0,1286960.0,5487688513325.515
1286960.0,1336940.0,1580269481391.6548
1336940.0,1405770.0,2546937770677.181
1405770.0,1636540.0,7894957594576.209
1636540.0,1901390.0,7497476669303.684
1901390.0,2231300.0,7708016689807.088
2231300.0,2725310.0,11075299130988.91
2725310.0,3328710.0,8789059884324.729
3328710.0,4065690.0,6017563053899.867
4065690.0,4965850.0,4974227719516.773
4965850.0,6065300.0,3206965232675.5
6065300.0,6703190.0,1076614506178.6011
6703190.0,7408170.0,675820774119.4811
7408170.0,8187300.0,441946006682.3737
8187300.0,9048360.0,251305508052.87653
9048360.0,9999990.0,159302230378.13864
9999990.0,11618300.0,91142057739.00262
11618300.0,13840300.0,33437932867.420383
13840300.0,14918200.0,4674465250.88253
14918200.0,19640300.0,2886620961.448259
