Emin,Emax,flux
0.0000001,0.0024999,85832261875.4233
0.0024999,0.00455602,196781665545.40112
0.00455602,0.00714526,383570788377.0168
0.00714526,0.0104505,688981964815.2174
0.0104505,0.01483,1195361361482.385
0.01483,0.0200104,1710214069663.311
0.0200104,0.0249394,1838787502488.4578
0.0249394,0.0292989,1720824917171.1624
0.0292989,0.0343998,2066063316066.6785
0.0343998,0.0402999,2394890807161.012
0.0402999,0.0473019,2753783524662.7754
0.0473019,0.0554982,3015857413826.647
0.0554982,0.0651999,3216046924812.511
0.0651999,0.0764969,3204561509722.8633
0.0764969,0.0897968,3134065413468.064
0.0897968,0.104298,2749559621748.345
0.104298,0.119995,2362466048936.345
0.119995,0.137999,2133217336538.3618
0.137999,0.161895,2160805519089.4631
0.161895,0.190005,1929531478619.0627
0.190005,0.20961,1088894840788.541
0.20961,0.231192,1039337620943.8815
0.231192,0.254997,990595309525.2786
0.254997,0.279989,923053580952.1877
0.279989,0.305012,836696003895.9846
0.305012,0.325008,615010795326.7365
0.325008,0.352994,803828479069.9255
0.352994,0.390001,980400849377.3776
0.390001,0.431579,1000898481350.4011
0.431579,0.475017,950109682806.6115
0.475017,0.520011,898292825988.9226
0.520011,0.55499,648904375005.5522
0.55499,0.594993,690200642734.1914
0.594993,0.624999,486282748374.4946
0.624999,0.719999,1373696622050.805
0.719999,0.800371,1027907550699.5099
0.800371,0.880024,909129552794.1378
0.880024,0.919978,421567195213.53265
0.919978,0.944022,239004535867.44797
0.944022,0.96396,196525119900.91275
0.96396,0.981959,171102822616.0292
0.981959,0.996501,141733737228.86337
0.996501,1.00904,118075620636.33307
1.00904,1.02101,111302284203.33432
1.02101,1.03499,129109051089.60095
1.03499,1.07799,377831962236.56976
1.07799,1.09198,117861218864.08974
1.09198,1.10395,99912665830.07417
1.10395,1.11605,101973356103.60046
1.11605,1.12997,116182116494.60287
1.12997,1.14797,146578167794.29855
1.14797,1.16999,174404533807.243
1.16999,1.21397,342656848906.3369
1.21397,1.25094,281422100373.45557
1.25094,1.29304,311660523553.9056
1.29304,1.33095,274199275539.53275
1.33095,1.38098,347769105238.6428
1.38098,1.41001,199406888463.22986
1.41001,1.44397,222399204518.96024
1.44397,1.51998,478290022450.5063
1.51998,1.58803,412675873005.86835
1.58803,1.66895,468590209576.50616
1.66895,1.77997,612485374617.1489
1.77997,1.90008,610553094338.8751
1.90008,1.98992,430730567883.1606
1.98992,2.0701,363806736195.6694
2.0701,2.15695,383584081156.50977
2.15695,2.21709,255988495427.02734
2.21709,2.27299,232493134830.70334
2.27299,2.33006,231717083469.9673
2.33006,2.46994,541387690626.2181
2.46994,2.55,302822324994.0816
2.55,2.59009,141357953872.8801
2.59009,2.62005,106749359281.16193
2.62005,2.64004,68597975119.32815
2.64004,2.70012,209439099114.09113
2.70012,2.7199,69010737494.04956
2.7199,2.74092,71567941879.19882
2.74092,2.77512,113873198693.4746
2.77512,2.88405,353920006171.2215
2.88405,3.14211,778819657478.6693
3.14211,3.54307,1101518410799.2715
3.54307,3.71209,411023093209.6623
3.71209,3.88217,402337036266.88605
3.88217,4.0,270452245465.40463
4.0,4.21983,492186536222.4857
4.21983,4.30981,193270382710.96335
4.30981,4.4198,228018984962.8437
4.4198,4.76785,685123532100.2993
4.76785,4.93323,294920849263.1362
4.93323,5.10997,311463997384.5001
5.10997,5.21008,164371826525.34473
5.21008,5.32011,180394391740.00485
5.32011,5.38003,97389090622.73376
5.38003,5.41025,47952141398.99801
5.41025,5.48817,125589794419.21298
5.48817,5.53004,64516537015.25682
5.53004,5.61979,135560573279.56781
5.61979,5.72015,150744269797.8713
5.72015,5.80021,112750209229.818
5.80021,5.96014,219992871250.2245
5.96014,6.05991,130497901920.56825
6.05991,6.16011,126440353301.178
6.16011,6.28016,140156476542.53
6.28016,6.35978,81915250136.36908
6.35978,6.43206,62833613264.06043
6.43206,6.48178,40488813642.45099
6.48178,6.51492,23302918941.107418
6.51492,6.53907,14873245049.454784
6.53907,6.55609,11039109441.783289
6.55609,6.57184,9925433157.085094
6.57184,6.58829,8900788305.980345
6.58829,6.60611,9764662007.491253
6.60611,6.63126,13756264204.455511
6.63126,6.71668,46034305732.602295
6.71668,6.74225,13670917188.746754
6.74225,6.75981,9877040643.922955
6.75981,6.77605,9272575053.067274
6.77605,6.79165,8948811348.243816
6.79165,6.8107,11888615405.583134
6.8107,6.83526,16711439370.682787
6.83526,6.87021,26042884889.480568
6.87021,6.91778,39438215315.04351
6.91778,6.99429,72121246788.03978
6.99429,7.13987,155155906331.59106
7.13987,7.38015,286559681142.2328
7.38015,7.60035,274008433033.1234
7.60035,7.73994,174480943946.03607
7.73994,7.83965,121791052691.82626
